शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
तलब	अरबी	लालसा, कामना, तीव्रेच्छा, आह्वान				
तलाक	अरबी	विवाहविच्छेद, विवाहसम्बन्धभेद				
तलाश	तुर्की	शोध, अन्वेषण, परीक्षण, अनुसन्धान		तलाशी, तलाशती, तलाशने, तलाशा, तलाशता, तलाशते		
तलाशी	तुर्की	शोध				
तवज्जो	अरबी	महत्व, मान				
तवायफ़	अरबी	वेश्या		तवायफ़ो, तवायफ़ों		
तवील	अरबी	दीर्घ				
तशरीफ	अरबी	सम्मान, आदर,				
तस्दीक	अरबी	पुष्टि				
तस्वीर	अरबी	चित्र, छवि		तस्वीरों, तस्वीरो, तस्वीरें, तस्वीरे, तसवीर		
तसबीह	अरबी	जपमाला				
तसल्ली	अरबी	सन्तोषप्रदता, सन्तुष्टि, सन्तोष				
तसव्वुर	अरबी	कल्पना, विचार				
तहकीकात	अरबी	खोज, शोध, जाँच, अनुसंधान, अन्वेषण, परीक्षण 				
तहजीब	अरबी	सभ्यता, शिष्टता		तहजीबों,		
तहत	अरबी	अन्तर्गत				
तहरीर	अरबी	लिखावट, लेखनशैली, पत्र				
तहलका	अरबी	कोलाहल, उत्पात, हलचल				
ताउम्र	अरबी	जीवनभर, जीवनपर्यंत				
ताकत	अरबी	बल, शक्ति		ताकतों, ताकात, ताकतें		
ताक़तवर	अरबी	शक्तिशाली, बलवान्				
ताकि	फारसी	इसलिए, अतएव		ताकी		
ताज्जुब	अरबी	आश्चर्य		ताजुब		
ताजवर	फारसी	राजा				
ताजा	फारसी	अशुष्क, नूतन				
ताबीर	अरबी	स्वप्न फल, स्वप्न वर्णन		ताबीरें, ताबीरों		
तारीकी	फारसी	अन्धकार, कज्जल				
तारीख़	अरबी	तिथि, दिनाङ्क, इतिहास		तारीखें		
तारीफ	अरबी	प्रशंसा		तारीफों, तारीफे		
ताल्लुक़	अरबी	संबंध, लगाव, प्रेम, पक्षपात		तअल्लुक, ताल्लुक़ात		
तालाब	फारसी	जलाशय		तालाबों		
तालीम	अरबी	शिक्षा, अभ्यास, ज्ञान				
तावीज	अरबी	जंतर, तांत्रिक यंत्र		ताबीज		
तासीर	अरबी	प्रभाव		तासिर		
तिजोरी	आङ्ग्लभाषा	???				
तिश्नगी	फारसी	उत्कंठा, अभिलाषा, तृष्णा, तीव्रेच्छा				
तुग़यानी	अरबी	बाढ़, प्रलय, पूर		तुग़्यानी		
तुपक	तुर्की	???				
तूफां	अरबी	आँधी				
तूफान	अरबी	आँधी				
तेज़ी	फारसी	उग्रता, प्रचण्डता, तीव्रता, प्रबलता, शीघ्रता				
तोप	तुर्की	???				
तोपगाड़ी	तुर्की+हिन्दी	???				
तोपची	तुर्की	???				
तोहफा	अरबी	उपहार	تُحْفَة	तोहफे, तोफा, तौफा		1. तोप से गोला दागने वाला व्यक्ति; गोलंदाज़ 2. तोप सैनिक 3. तोप संचालक।
तोहमत	अरबी	मिथ्या आरोप		तोहमते, तोहमतें		
तैनात	अरबी	नियुक्त				
तैनाती	अरबी	नियुक्ति				
तैयार	अरबी	तत्पर, उद्यत, प्रस्तुत, कटिबद्ध, उपस्थित, सज्ज				
तैयारी	अरबी+फारसी	आयोजन, प्रबन्ध, उद्यत, सज्जीकृत		तैयारियां, तैयारियों, तेयारी, तैयारियाँ		
तैश	अरबी	क्रोध				
तौबा	अरबी	पश्चाताप				
तौर	अरबी	रूप				
तौलिया	आङ्ग्लभाषा+हिन्दी	अँगोछा				
						
थेंक्यू	आङ्ग्लभाषा	धन्यवाद, आभार, 	thank you		^थ(े|ेै)(न्|ं|ङ्)क्य(ु|ू)$	
थेंक्स्	आङ्ग्लभाषा	धन्यवाद, आभार, 	thanks		^थ(े|ेै)(न्|ं|ङ्)क्स(्)?$	
						
दखल	अरबी	हस्तक्षेप, प्रवेश, अधिकार				
दखलंदाजी	अरबी+फारसी	हस्तक्षेप		दखलअंदाजी		
दफ्तर	अरबी	कार्यालय				
दफन	अरबी	???		दफ्न		
दफा	अरबी	वार, धारा, तिरस्कृत				
दंगल	फारसी	मल्लयुद्ध		दन्गल		
दंगा	फारसी	उपद्रव		दंगे		
दम	फारसी	प्राण, श्वास, शक्ति, बल				
दर्ज	अरबी	अङ्कित, प्रविष्ट, पञ्जीकृत				
दर्जन	आङ्ग्लभाषा	बारह , द्वादश	dozen	दर्जनों, दर्जनो		
दर्जा	अरबी	कक्षा, वर्ग, श्रेणी, स्थान		दरजा, दर्जे, दरजे		
दर्द	फारसी	कष्ट, दुःख, पीड़ा, व्यथा				
दर्दनाक	फारसी	कष्टप्रद, करुणाजनक,कष्टदायक,				
दरअसल	अरबी	वास्तव में, वस्तुतः, यथार्थ में				
दरकार	फारसी	आवश्यक, आवश्यकता				
दरकिनार	फारसी	अलग, अनदेखा				
दरख्त	फारसी	वृक्ष				
दरबार	फारसी	राजसभा, सभा				
दरबारी	फारसी	सभासद		दरबारियों		
दरवाज़ा	फारसी	द्वार, प्रवेशमार्ग		दरवाजे		
दरिन्दा	फारसी	क्रूर, निर्दयी, मांसभक्षी पशु		दरिंदा, दरिंदों, दरिन्दे, दरिंदे , दरिंदो, दरिन्दों, दरिन्दो		
दरिया	फारसी	नदी, समुद्र				
दरियादिल	फारसी	उदार				
दरियादिली	फारसी	उदारता, सहृदयता, सज्जनता				
दरीचा	फारसी	उपद्वार		दरीची		
दलाल	अरबी	बिचौलिया		दलालों		
दलाली	अरबी	मध्यस्थता				
दवा	अरबी	औषधि, उपचार, चिकित्सा		दवाओं,		
दवाई	अरबी	औषधि, उपचार, चिकित्सा		दवाइयां, दवाइयाँ, दवाइयों		
दस्तक	फारसी	???				
दस्तखत	अरबी+फारसी	हस्ताक्षर				
दस्तूर	फारसी	रीति, प्रथा, परंपरा				
दहलीज	फारसी	द्वार		देहलीज		
दहशत	अरबी	आतङ्क, भय, त्रास				
दहशतगर्द	अरबी+फारसी	आतंकवादी, त्रासवादी		दहशतगर्दो, दहशतगर्दों		
दाद	फारसी	प्रशंसा, न्याय				
दादख्वाह	फारसी	न्यायेच्छु				
दामन	फारसी	पल्ला				
दामाद	फारसी	जमाई				
दायर	अरबी	???				
दायरा	अरबी	कार्यक्षेत्र, वृत्त		दायरे		
दारू	फारसी	मद्य, मदिरा, औषध, उपचार				
दावत	अरबी	निमन्त्रण, आमन्त्रण,				
दावा	अरबी	अधिकार, आत्मविश्वास, अभियोग		दावे		
दावेदार	अरबी+फारसी	अधिकारी				
दास्तान	फारसी	कथा, कहानी, वर्णन		दास्तां, दास्तानों, दास्तानो,		
दिक्कत	अरबी	कष्ट, समस्या		दिक्कतें, दिक्कते, दिक्कतों		
दिमाग़	अरबी	बुद्धि, समझ, मस्तिष्क		दीमाग		
दिल्लगी	फारसी	मनोविनोद, परिहास, प्रेम, स्नेह				
दिल	फारसी	हृदय, मन		दिलों		
दिलकश	फारसी	मनमोहक, चित्ताकर्षक				
दिलचस्प	फारसी	मनोरञ्जक, चित्ताकर्षक, हृदयग्राही, अनुरागजनक, विनोदक				
दिलचस्पी	फारसी	रुचि, मनोरञ्जकता, अनुराग, रस				
दिलबर	फारसी	प्रिय, प्रेमी		दिलबरो, दिलबरों		
दिलवाला	फारसी	उदार, साहसी, दाता		दिलवाले		
दिलावर	फारसी	वीर, साहसी, पौरुषवान		दिलेर		
दिलावरी	फारसी	वीरता, साहस, पौरुष		दिलेरी		
दिली	फारसी	हार्दिक				
दिवाना	फारसी	उन्मत्त, वातुल, भ्रष्टबुद्धि		दीवाना, दिवाने, दीवाने		
दीदार	फारसी	दर्शन, साक्षात्कार, सौंदर्य	ديدار‎	दिदार		
दीवार	फारसी	भीत		दीवारें , दिवारों, दीवारों		
दुआ	अरबी	प्रार्थना, आशीर्वाद, विनती		दुआओं, दुआओ, दुवा, दुवाओं, दुआँ, दुआं, दुआएं, दुआएँ ,		
दुकान	फारसी	आपण		दुकानें, दुकानों		
दुकानदार	फारसी	व्यापारी				
दुकानदारी	फारसी	व्यापार				
दुनिया	अरबी	संसार, विश्व, जगत्		दुनियां, दुनियाँ, दुनियाको, दुनियाओं		
दुनियादार	अरबी+फारसी	व्यवहारकुशल, गृहस्थ, संसारी		दुनियाँदार		
दुनियादारी	अरबी+फारसी	व्यवहार-कुशलता, लोकव्यवहार,		दुनियाँदारी		
दुनियाभर	अरबी	समग्र विश्व				
दुरुस्त	फारसी	उचित, उपयुक्त, ठीक, यथार्थ, दोष रहित		दुरस्त		
दुश्मन	फारसी	शत्रु, वैरी		दुश्मनों, दुश्मनो		
दुश्मनी	फारसी	शत्रुता				
दोज़ख़	फारसी	नरक				
दोयम	फारसी	द्वितीय				
दोस्त	फारसी	मित्र, साथी, सखा, बन्धु, सुहृत्, वयस्य, स्निग्ध		दोस्तों, दोस्तो		
दोस्ती	फारसी	मित्रता, मैत्री, बन्धुत्व				द
दौर	अरबी	चक्कर, फेरा, क्रम, व्यवस्था, समय,				
दौरा	अरबी	यात्रा, चक्कर, भ्रमण		दौरे		
दौरान	अरबी	समय, काल				
दौलत	अरबी	धन, संपत्ति		दौलतें		
दौलतमंद	अरबी+फारसी	धनवान, धनाढ्य, समृद्ध, संपन्न		दौलतमन्द, दौलतमंदो, दौलतमंदों,		
						
धंधेबाज	हिन्दी+फारसी	???		धंधेबाजों		
धोखेबाज	उर्दू	कपटी, धूर्त		धोखेबाजों		
धोखेबाजी	उर्दू	कपट, छल				
						
न्यू	आङ्ग्लभाषा	नव, नवीन, नूतन, आधुनिक, अभूतपूर्व, 	new			
न्यूज्	आङ्ग्लभाषा	समाचार, वार्ता	news	न्यूज		
न्यूट्रल्	आङ्ग्लभाषा	तटस्थ, निष्पक्ष	neutral	न्युट्रल, न्यूट्रल		
न्यूट्रालिटी	आङ्ग्लभाषा	तटस्थता, निष्पक्षता	neutrality	न्युट्रालिटी,		
न्यूट्रिशन्	आङ्ग्लभाषा	पोषण, पोषक तत्व	nutrition	न्यूट्रिशन्स, न्यूट्रिशन		
नक्शा	अरबी	मानचित्र		नक्शे		
नक्शेकदम	अरबी	पदचिह्न, अनुकरण				
नकद	अरबी	रोकड़				
नक़ल	अरबी	अनुकृति, अनुकरण				
नकली	अरबी	मिथ्या, काल्पनिक, कृत्रिम				
नखरा	फारसी			नखरे, नखरें		
नग़मा	अरबी	गीत		नग्मे, नग्मा		
नगीना	फारसी	मणि, रत्न				
नज़्म	अरबी	कविता, पद्य				
नजदीक	फारसी	समीप, निकट		नज्दीक, नजदिक		
नजदीकी	फारसी	निकट का, सम्बन्धी, समीपता, निकटता				
नजदीकियां	फारसी	सामीप्य, निकटता, समीपता		नजदीकियों		
नजर	अरबी	दृष्टि		नजरो, नजरों, नजरे, नजरें		
नजरअंदाज	अरबी+फारसी	उपेक्षा		नजरअन्दाज		
नजरिया	अरबी	दृष्टिकोण		नजरिये , नजरिए		
नजला	अरबी	प्रतिश्याय, पीनस,				
नज़ाकत	फारसी	कोमलता,				
नज़ारा	अरबी	दृश्य		नजारे		
नज़ीर	अरबी	उदाहरण, दृष्टान्त				
नतीजा	अरबी	परिणाम, फल		नतीजों, नतीजो, नतीजे, नतीजें		
नफरत	अरबी	घृणा, द्वेष		नफ़रतों		
नफ़ा	अरबी	लाभ, हित, अर्जन	نفع			न 
नफ़ासत	अरबी	कोमलता, स्वच्छता, सुन्दरता, निर्मलता				
नफ़ीस	अरबी	कोमल, स्वच्छ, सुन्दर, निर्मल				
नम्बर	आङ्ग्लभाषा	क्रम, सङ्ख्या, क्रमाङ्क	number	नंबर		
नंबरदार	आङ्ग्लभाषा+फारसी	???		नम्बरदार		
नमक	फारसी	लवण				
नमूना	फारसी	प्रतिमान				
नर्म	फारसी	कोमल , मृदु , शिथिल		नरम		
नर्वस	आङ्ग्लभाषा	मज्जातन्तुसम्बन्धी, उद्विग्न, व्यग्र,	nervous			
नवाज	फारसी	कृपालु, दयालु				
नवाजना	फारसी	पुरस्कृत करना, सम्मानित करना		नवाजें		
नवाजा	फारसी	पुरस्कृत किया, सम्मानित किया				
नवाब	अरबी	प्रशासक		नवाबों		
नशा	फारसी	मद, प्रमाद, मादकता, उन्माद		नशे		
नस्ल	अरबी	वंश, सन्तति	نسل	नसल		
नस्लभेद	अरबी+हिन्दी	वंशभेद				
नस्लभेदी	अरबी+हिन्दी	वंशभेदी				
नस्लवाद	अरबी+हिन्दी	वंशवाद				
नस्लवादी	अरबी+हिन्दी	वंशवादी				
नस्लीय	अरबी	वंशीय				
नसीब	अरबी	भाग्य, प्राप्त		नसीबों		
नसीबदार	अरबी+फारसी	बहुश्रेयसी, भाग्यवान				
नसीहत	अरबी	सदुपदेश, उपदेश, शिक्षा				
नाइट्	आङ्ग्लभाषा	रात्रि, निशा,  	night	नाइट		
नाइंसाफी	अरबी	अन्याय		नाइन्साफी		
नाउम्मीद	फारसी	निराश, हताश		नौमीद, नाउमीद		
नाउम्मीदी	फारसी	निराशा, हताशा		नौमीदी, नाउमीदी		
नाकाम	फारसी	असफल				
नाकामयाब	फारसी	असफल, विफल				
नाकामी	फारसी	असफलता				
नाखुदा	फारसी	नाविक, कर्णधार, केवट				
नाखुश	फारसी	अप्रसन्न, असन्तुष्ट				
नाज़	फारसी	गर्व				
नाजायज	अरबी+फारसी	अनुचित, अवैध, अनुपयुक्त		नजायज		
नाजुक	फारसी	गम्भीर, कोमल, मृदु				
नादान	फारसी	अज्ञानी, मुर्ख				
नादानी	फारसी	अज्ञानता, मूर्खता, अकुशलता				
नापाक़	फारसी	अपवित्र, अशुद्ध				
नाबाद	अरबी	???				
नाबालिग	अरबी+फारसी	अवयस्क				
नाबूद	फारसी	लुप्त, विध्वस्त		नाबुद		
नामर्द	फारसी	नपुंसक, कायर, डरपोक		नामर्दों, नामर्दो		
नामाकूल	अरबी+फारसी	अयोग्य, अनुचित, अपूर्ण		नामाकुल		
नामुमकिन	अरबी	असम्भव				
नाराज़	अरबी+फारसी	रुष्ट, अप्रसन्न, असन्तुष्ट				
नाराजगी	अरबी+फारसी	अप्रसन्नता, असन्तुष्टि				
नायाब	फारसी	अप्राप्य, दुष्प्राप्य				
निकम्मा	???	???				
निगरानी	फारसी	निरीक्षण				
निगाह	फारसी	दृष्टि, ध्यान		निगाहें, निगाहे, निगाहों, निगाहो		
निजात	अरबी	मोक्ष, मुक्ति				
निशाना	फारसी	लक्ष्य		निशाने		
निशानी	फारसी	चिह्न, स्मृतिचिह्न				
निहायत	अरबी	अत्यंत, अत्याधिक				
नीयत	अरबी	विचार, इच्छा, आशय, उद्देश्य	نِيَّةٌ			
नुकसान	अरबी	क्षति, हानि, क्षय				
नुकसानदायक	अरबी+हिन्दी	हानिकारक, अहितकारी				
नुमाइश	फारसी	प्रदर्शन, दिखावट		नुमाईश		
नुमायाँ	फारसी	व्यक्त, स्पष्ट, प्रकट		नुमाँया		
नुस्ख़ा	अरबी	औषधि, विधि, उपाय		नुस्खे, नुस्खें, नुस्खो, नुस्खों		
नूर	अरबी	प्रकाश, ज्योति				
नेक	फारसी	भला, उत्तम, श्रेष्ठ, शुभ, शिष्ट, परोपकारी				
नेकी	फारसी	भलाई, परोपकार, शिष्टाचार				
नेगेटिव	आङ्ग्लभाषा	नकारात्मक,	negative	निगेटिव		
नेचुरल	आङ्ग्लभाषा	प्राकृतिक	natural	नेचरल		
नेमत	अरबी	धन, सम्पत्ति, सुख, समृद्धि, आनन्द		ने'मत, नेअमत		
नेशन	आङ्ग्लभाषा	राष्ट्र	nation			
नेशनल	आङ्ग्लभाषा	राष्ट्रीय	national			
नेस्तनाबूद	फारसी	समूल नष्ट		नेस्तनाबूद		
नोटिस्	आङ्ग्लभाषा	दृष्टि, सूचना, निर्देश, सूचनपत्र, अवलोकन, घोषणापत्र, 	notice	नोटिस		
नोर्थ्	आङ्ग्लभाषा	उत्तर	north	नॉर्थ		
नौकर	तुर्की	सेवक, कर्मचारी, भृत्य		नोकर		
नौकरशाह	तुर्की+फारसी	सेवकराज		नोकरशाह		
नौकरशाही	तुर्की+फारसी	???		नोकरशाही		
नौकरानी	तुर्की+हिन्दी	सेविका, भृत्या,				
नौकरी	तुर्की+हिन्दी	सेवा		नौकरियां , नोकरी		
नौजवान	फारसी	नवयुवक, नवयुवान		नौजुवान, नौजवानो, नौजवानों		
नौबत	अरबी	दुर्गति, दुर्दशा		नोबत		
						
प्राइवेट् 	आङ्ग्लभाषा	निजी,  व्यक्तिगत	private 	प्राइवेट		
प्रूफ्	आङ्ग्लभाषा	प्रमाण, सिद्धि, अभेद्य, 	proof	प्रूफ 		
प्रेक्टिकल्	आङ्ग्लभाषा	व्यावहारिक	practical	प्रैक्टिकल, प्रेक्टिकल		
प्रेग्नेंट	आङ्ग्लभाषा	गर्भवती	pregnant	प्रेगनेंट, प्रेग्नंट		
प्रेशर्	आङ्ग्लभाषा	दबाव	pressure	प्रेशर		
प्रोजेक्ट्	आङ्ग्लभाषा	योजना, परियोजना	project 	प्रोजेक्ट		
प्रोटेस्ट्	आङ्ग्लभाषा	आन्दोलन	protest	प्रोटेस्ट		
प्रोटोकॉल्	आङ्ग्लभाषा	शिष्टाचार, औपचारिकता,	protocol	प्रोटोकॉल		
प्रोपर्टी	आङ्ग्लभाषा	सम्पत्ति, धन, गुण, लक्षण	property	प्रॉपर्टी		
प्रोपागेण्डा	आङ्ग्लभाषा	दुष्प्रचार	propaganda	प्रॉपगैंडा, प्रोपागेण्डा, प्रॉपगेंडा,		
प्रोफेश्नल्	आङ्ग्लभाषा	व्यावसायिक	professional	प्रोफेशनल		
प्रोब्लेम्	आङ्ग्लभाषा	समस्या	problem	प्रोब्लम , प्रॉब्लम, प्रोब्लेम		
प्रैक्टिस्	आङ्ग्लभाषा	अभ्यास, कार्य, 	practice 	प्रैक्टिस		
प्लान्	आङ्ग्लभाषा	योजना, परियोजना	plan	प्लान		
प्लानिंग्	आङ्ग्लभाषा	योजना, आयोजन	planning	प्लानिंग		
प्लेस्	आङ्ग्लभाषा	स्थान, स्थल, 	place	प्लेस, प्लेसेज, 		
पगार	तुर्की	वेतन				
पत्थरदिल	हिन्दी+फारसी	पाषाणहृदयी				
पनाह	फारसी	शरण		पनाहों		
पब्लिक्	आङ्ग्लभाषा	जनता, लोक, सार्वजनिक,  	public	पब्लिक 		
पर्दा	फारसी	पट, आवरण, यवनिका		परदा, पर्दे, परदे		
पर्शियन	आङ्ग्लभाषा	फ़ारसी	persian			
पर्शिया	आङ्ग्लभाषा	फ़ारस	persia			
परवरिश	फारसी	पालन-पोषण, देखरेख				
परवा	फारसी	चिंता		परवाह		
परहेज	फारसी	परिवर्जन, निवर्तन,				
परिंदा	फारसी	पक्षी, खग		परिंदों, परिन्दों		
परी	फारसी	अप्सरा				
परेशान	फारसी	व्याकुल, उद्विग्न, चिन्तित, विक्षुब्ध		परेशाँ		
परेशानी	फारसी	व्याकुलता, उद्विग्नता, कष्ट, समस्या		परेशानियों, परेशानियो, परेशानियां, परेशानियाँ		
पशेमाँ	फारसी	लज्जित,		पशेमान		
पसंद	फारसी	रुचि, रुचिकर, चयन, स्वीकृति, प्रिय, मनभावन		पसन्द		
पसंदीदा	फारसी	मनभावन, प्रिय, रूचिकर		पसन्दीदा		
पहलवान 	फारसी	मल्ल 				
पाजेब	फारसी	नूपुर, पायल, 				
पाबंदी	फारसी	प्रतिबन्ध, अधीनता, बाध्यता, 		पाबंदियाँ	^पाब(न्|ं)द(ि|ी)(या|यां|याँ|यो|यों|योँ)?$	
पार्ट्	आङ्ग्लभाषा	भाग	part	पार्ट		
पार्टी 	आङ्ग्लभाषा	पक्ष	party		^पार्ट(ि|ी)(ज्|ज|यां|याँ|यों|योँ)?$	
पार्टनर्	आङ्ग्लभाषा	सहभागी, साथी, सङ्गी	partner	पार्टनर		
पाशा	तुर्की	???				
पास्पोर्ट्	आङ्ग्लभाषा	अभयपत्र, अभिज्ञानपत्र, अभिज्ञामुद्रा, 	passport	पासपोर्ट		
पिस्तौल	आङ्ग्लभाषा	???	pistol			तुर्किस्तान में बड़े अधिकारियों और सरदारों को दी जाने वाली उपाधि।
पीएम्	आङ्ग्लभाषा	प्र०मं०, प्रधानमन्त्री, 	pm	पीएम 		
पीडियाट्रिक्	आङ्ग्लभाषा	बालचिकित्सा	pediatric	पीडियाट्रिक		
पुरखुलूस्	अरबी	सत्य, निष्कपट, यथार्थ, 		पुरखुलूस्		
पुरसुकून	अरबी	शान्तिपूर्ण,				
पुलिस्	आङ्ग्लभाषा	???	police	पुलिस		
पुलिस्कर्मी	आङ्ग्लभाषा+हिन्दी	सुरक्षाकर्मी		पुलिसकर्मी		
पेरेंट्	आङ्ग्लभाषा	जनक, मूल, मातापिता, 	parent	पेरेंट्स, पेरेंट्स्, 		
पेश	फारसी	उपस्थित, प्रस्तुत				
पेशकश	फारसी	प्रस्तुति, उपहार, निवेदन				
पेशगी	फारसी	अगाऊ, अग्रिम धन				
पेशी	फारसी	प्रस्तुति, उपस्थिति				
पेशा	फारसी	व्यवसाय				
पैग़ाम	फारसी	सन्देश, समाचार				
पैटर्न्	आङ्ग्लभाषा	प्रतिमान, ???	pattern	पैटर्न्स, पैटर्न 		
पैमाना	फारसी	मानदण्ड, स्तर, परिमाण		पैमाने		
पोजिटिविटी	आङ्ग्लभाषा	सकारात्मकता	positivity	पॉजिटिविटी		
पोप्युलेशन्	आङ्ग्लभाषा	जनसङ्ख्या	population	पॉप्युलेशन		
पोल्यूशन्	आङ्ग्लभाषा	प्रदूषण	pollution	पॉल्युशन, पॉल्यूशन		
पोलिसी	आङ्ग्लभाषा	नीति	policy	पॉलिसी		
पोलिटिकल्	आङ्ग्लभाषा	राजनैतिक, राजकीय, 	political 		^प(ो|ॉ)ल(ि|ी)ट(ि|ी)कल(्)?$	
पोशाक	फारसी	वेश, परिधान, वस्त्र				
पोस्टर्	आङ्ग्लभाषा	विज्ञापन, ???	poster	पोस्टर		
पोसिबल्	आङ्ग्लभाषा	सम्भव	possible	पॉसीबल, पोसिबल, पोसीबल, पॉसिबल	^प(ो|ॉ)स(ि|ी)बल(्)?$	
						
फ्यूचर्	आङ्ग्लभाषा	भविष्य	future	फ्युचर, फ्यूचर		
फ्री 	आङ्ग्लभाषा	निःशुल्क, मुक्त, स्वतन्त्र 	free			
फक्त	अरबी	केवल, मात्र	فقط	फकत		
फकीर	अरबी	भिक्षुक, दरिद्र				
फ़क़ीरी	अरबी	सादगी, निर्धनता,				
फख्र	अरबी	गर्व, अभिमान		फक्र		
फ़ज़्ल	अरबी	???				
फजीहत	अरबी	अपयश, कलङ्क, निन्दा, अपमान, दुर्दशा, दुर्गति,		फजिहत		
फण्ड्	आङ्ग्लभाषा	धन, निधि, पूंजी,  	fund		^फ(ण्|ं)ड(्)?$	
फतवा	अरबी	[मूलअर्थ: इस्लामिक आदेश, निर्णय अथवा घोषणा]	فتوى‎	फतवे, 		
फ़तह	अरबी	विजय, सफलता		फ़तेह		
फंगस्	आङ्ग्लभाषा	ऊर्व्यङ्ग, कुकुरमुत्ता, छत्रक	fungus	फंगस		
फर्क	अरबी	अंतर		फरक		
फर्ज	अरबी	कर्तव्य		फ़रज़ी		
फर्जी	अरबी	काल्पनिक, मिथ्या, भ्रामक				
फ़रज़ंद	फारसी	पुत्र				
फरमाइश	फारसी	आग्रह, निवेदन, अनुरोध		फर्माइश		
फ़रमान	फारसी	आदेश, आज्ञा, आज्ञापत्र, निर्देश				
फरमाना	फारसी	आज्ञा देना, कहना		फरमाएं		
फरमाया	फारसी	कहा				
फ़रामोश	फारसी	विस्मृत				
फ़रार	फारसी	पलायित, चंपत				
फरियाद	फारसी	अभियोग				
फरियादकर्ता	फारसी+हिन्दी	अभियोक्ता				
फरियादी	फारसी	अभियोक्ता				
फरेब	फारसी	छल, कपट, धूर्तता, 		फरेबों		
फरोख्त	फारसी	विक्रय, विक्री, 				
फलक	अरबी	आकाश, गगन, 				
फ़लीता	तुर्की	???				
फसल	अरबी	उपज, पैदावार, उत्पाद		फसलों		
फ़साद	अरबी	उपद्रव, उत्पाद, विकार, क्लेश				
फाइनल्	आङ्ग्लभाषा	अन्तिम	final	फाईनल, फाइनल		
फाउण्डेशन्	आङ्ग्लभाषा	संस्थान, आधार, स्थापना, प्रतिष्ठान, 	foundation 		^फा(उ|ऊ)(न्|ं|ण्)डेशन(्)?(स्|स)?$	
फ़ाज़िल	अरबी	विद्वान				
फ़ायदा	अरबी	लाभ, हित, अर्जन	فائدة	फायदे		
फायदेमंद	अरबी+फारसी	लाभदायक, लाभकारी				
फासला	फारसी	अन्तर	فاصلہ	फासले		
फिक्र	???	चिन्ता		फिकर		
फिजा	फारसी	शोभा			^फ(ि|ी)जा(ओ|ओं)?$	
फिजिकल्	आङ्ग्लभाषा	शारीरिक, भौतिक	physical	फिजिकल	^फ(ि|ी)ज(ि|ी)कल(्)?$	
फिजूल	अरबी	व्यर्थ,				
फितरत	अरबी	स्वभाव, प्रकृति		फ़ित्रत		
फितूर	अरबी	दोष, विघ्न, उपद्रव		फितुर, फीतूर, फीतुर, फ़ुतूर,		
फितूरी	अरबी	???				
फ़िदवी	अरबी	सेवक, दास, आज्ञाकारी, स्वामिभक्त,				
फिदा	अरबी	बलिहारी				
फ़िरक़ा	अरबी	पंथ, संप्रदाय, समुदाय,				
फ़िरदौस	अरबी	वाटिका, उद्यान				
फ़िराक़	अरबी	वियोग, चिंता				
फिल्म् 	आङ्ग्लभाषा	चलचित्र, 	film	फिल्म, फिल्में, फिल्मों, फिल्म्स 		
फिलहाल	अरबी	अभी				
फीसदी	फारसी	प्रतिशत				
फ़ुरक़त	अरबी	वियोग		फ़ुर्क़त		
फुरसत	अरबी	अवकाश		फुर्सत		
फेमस्	आङ्ग्लभाषा	प्रसिद्ध, प्रख्यात, 	famous 	फेमस		
फेमिली	आङ्ग्लभाषा	परिवार	family	फॅमिली, फैमिली, 		
फेवरेट	आङ्ग्लभाषा		favorite 		^फ(े|ेै)वर(े|ि)ट(्)?$	
फेहरिस्त	अरबी	सूची, सूचीपत्र,				
फेक्ट्	आङ्ग्लभाषा	तथ्य, सत्य, यथार्थ, वास्तव, वस्तु, 	fact	फैक्ट, फैक्ट्स		
फैक्ट्री	आङ्ग्लभाषा	यन्त्रशाला, शिल्पगृह, शिल्पशाला, यन्त्रगृह, आवेशन, प्रावेशन, 	factory		^फ(े|ेै)क्ट(्)?र(ि|ी)(या|यां|याँ|यो|यों|योँ)?$	
फैन्	आङ्ग्लभाषा	प्रशंसक, व्यजन, पङ्खा	fan	फैन्स, फैन		
फैयाज़	अरबी	दानी, मुक्तहस्त, उदार,				
फैशन्	आङ्ग्लभाषा	लोकाचार, ???	fashion	फैशन 		
फैसल	अरबी	निर्णीत, न्यायकर्ता,				
फैसला	अरबी	निर्णय		फैसलों, फैसले, फैसलें		
फोटो	आङ्ग्लभाषा	चित्र, छवि	photo			
फोर्ट्	आङ्ग्लभाषा	गढ, दुर्ग	fort	फोर्ट		
फ़ोर्स	आङ्ग्लभाषा	बल, शक्ति, सेना	force			
फॉर्मूला	आङ्ग्लभाषा	सूत्र, विधि	formula	फोर्मूला, फॉर्म्यूला, फोर्म्यूला		
फ़ौज	अरबी	सेना, सैन्य		फौजें		
फौजी	अरबी	सैनिक, योद्धा		फौजियों		
फ़ौरन	अरबी	शीघ्र, तत्काल, तत्क्षण, त्वरित				
फ़ौरी	अरबी	महत्वपूर्ण, अत्यावश्यक,				
फौलाद	अरबी	लोहा, शक्तिशाली,				
फौलादी	अरबी	लोह, सशक्त,				
						
ब्यूरो	आङ्ग्लभाषा	कार्यालय, विभाग, केन्द्र, आधार, ग्रन्थकुटी, 	bureau	ब्यूरोज		
ब्रिज	आङ्ग्लभाषा	सेतु 	bridge			
